Date,Newly confirm,Accumulate Patient,New Death,Accumulate Death,Hospitalized,Recovered
01/01/2020,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
01/05/2020,0,0,0,0,0,0
01/06/2020,0,0,0,0,0,0
01/07/2020,0,0,0,0,0,0
01/08/2020,0,0,0,0,0,0
01/09/2020,0,0,0,0,0,0
01/10/2020,0,0,0,0,0,0
01/11/2020,0,0,0,0,0,0
01/12/2020,1,1,0,0,1,0
01/13/2020,0,1,0,0,1,0
01/14/2020,0,1,0,0,1,0
01/15/2020,0,1,0,0,1,0
01/16/2020,0,1,0,0,1,0
01/17/2020,1,2,0,0,2,0
01/18/2020,0,2,0,0,1,1
01/19/2020,0,2,0,0,1,1
01/20/2020,0,2,0,0,1,1
01/21/2020,0,2,0,0,0,2
01/22/2020,2,4,0,0,2,2
01/23/2020,0,4,0,0,2,2
01/24/2020,1,5,0,0,2,3
01/25/2020,1,6,0,0,3,3
01/26/2020,2,8,0,0,2,6
01/27/2020,0,8,0,0,2,6
01/28/2020,6,14,0,0,8,6
01/29/2020,0,14,0,0,8,6
01/30/2020,0,14,0,0,7,7
01/31/2020,5,19,0,0,11,8
02/01/2020,0,19,0,0,11,8
02/02/2020,0,19,0,0,10,9
02/03/2020,0,19,0,0,10,9
02/04/2020,6,25,0,0,15,10
02/05/2020,0,25,0,0,15,10
02/06/2020,0,25,0,0,15,10
02/07/2020,0,25,0,0,15,10
02/08/2020,7,32,0,0,22,10
02/09/2020,0,32,0,0,21,11
02/10/2020,0,32,0,0,21,11
02/11/2020,1,33,0,0,22,11
02/12/2020,0,33,0,0,22,11
02/13/2020,0,33,0,0,22,11
02/14/2020,0,33,0,0,22,11
02/15/2020,1,34,0,0,21,13
02/16/2020,0,34,0,0,19,15
02/17/2020,1,35,0,0,20,15
02/18/2020,0,35,0,0,20,15
02/19/2020,0,35,0,0,20,15
02/20/2020,0,35,0,0,18,17
02/21/2020,0,35,0,0,16,19
02/22/2020,0,35,0,0,15,20
02/23/2020,0,35,0,0,14,21
02/24/2020,0,35,0,0,14,21
02/25/2020,2,37,0,0,15,22
02/26/2020,3,40,0,0,16,24
02/27/2020,0,40,0,0,16,24
02/28/2020,1,41,0,0,13,28
02/29/2020,1,42,0,0,14,28
03/01/2020,0,42,1,1,11,30
03/02/2020,1,43,0,1,11,31
03/03/2020,0,43,0,1,11,31
03/04/2020,0,43,0,1,11,31
03/05/2020,4,47,0,1,15,31
03/06/2020,1,48,0,1,16,31
03/07/2020,2,50,0,1,18,31
